# x y r lon
0.951371 0.024452 0.951685 0.025696
0.951379 0.024523 0.951695 0.025770
0.951387 0.024593 0.951705 0.025844
0.951395 0.024664 0.951715 0.025918
0.951403 0.024734 0.951724 0.025992
0.951411 0.024805 0.951734 0.026066
0.951419 0.024875 0.951744 0.026139
0.951428 0.024946 0.951755 0.026213
0.951436 0.025016 0.951765 0.026287
0.951444 0.025087 0.951775 0.026361
0.951452 0.025157 0.951785 0.026434
0.951461 0.025227 0.951795 0.026508
0.951469 0.025298 0.951805 0.026582
0.951477 0.025368 0.951815 0.026656
0.951486 0.025439 0.951826 0.026729
0.951494 0.025509 0.951836 0.026803
0.951502 0.025579 0.951846 0.026877
0.951511 0.025650 0.951857 0.026950
0.951519 0.025720 0.951867 0.027024
0.951528 0.025790 0.951877 0.027097
0.951536 0.025860 0.951888 0.027171
0.951545 0.025931 0.951898 0.027244
0.951553 0.026001 0.951909 0.027318
0.951562 0.026071 0.951919 0.027391
0.951571 0.026141 0.951930 0.027465
0.951579 0.026212 0.951940 0.027538
0.951588 0.026282 0.951951 0.027612
0.951597 0.026352 0.951961 0.027685
0.951605 0.026422 0.951972 0.027759
0.951614 0.026492 0.951983 0.027832
0.951623 0.026562 0.951993 0.027906
0.951631 0.026633 0.952004 0.027979
0.951640 0.026703 0.952015 0.028052
0.951649 0.026773 0.952026 0.028126
0.951658 0.026843 0.952036 0.028199
0.951667 0.026913 0.952047 0.028272
0.951676 0.026983 0.952058 0.028346
0.951684 0.027053 0.952069 0.028419
0.951693 0.027123 0.952080 0.028492
0.951702 0.027193 0.952091 0.028565
0.951711 0.027263 0.952102 0.028638
0.951720 0.027333 0.952113 0.028712
0.951729 0.027403 0.952124 0.028785
0.951738 0.027473 0.952135 0.028858
0.951747 0.027543 0.952146 0.028931
0.951756 0.027613 0.952157 0.029004
0.951766 0.027683 0.952168 0.029077
0.951775 0.027752 0.952179 0.029150
0.951784 0.027822 0.952190 0.029223
0.951793 0.027892 0.952202 0.029296
0.951802 0.027962 0.952213 0.029370
0.951811 0.028032 0.952224 0.029443
0.951821 0.028102 0.952235 0.029515
0.951830 0.028171 0.952247 0.029588
0.951839 0.028241 0.952258 0.029661
0.951849 0.028311 0.952270 0.029734
0.951858 0.028381 0.952281 0.029807
0.951867 0.028450 0.952292 0.029880
0.951877 0.028520 0.952304 0.029953
0.951886 0.028590 0.952315 0.030026
0.951896 0.028659 0.952327 0.030099
0.951905 0.028729 0.952338 0.030171
0.951914 0.028799 0.952350 0.030244
0.951924 0.028868 0.952362 0.030317
0.951934 0.028938 0.952373 0.030390
0.951943 0.029008 0.952385 0.030463
0.951953 0.029077 0.952397 0.030535
0.951962 0.029147 0.952408 0.030608
0.951972 0.029216 0.952420 0.030681
0.951981 0.029286 0.952432 0.030753
0.951991 0.029355 0.952444 0.030826
0.952001 0.029425 0.952455 0.030898
0.952011 0.029494 0.952467 0.030971
0.952020 0.029564 0.952479 0.031044
0.952030 0.029633 0.952491 0.031116
0.952040 0.029703 0.952503 0.031189
0.952050 0.029772 0.952515 0.031261
0.952059 0.029841 0.952527 0.031334
